blue,green,red,ndwi,brightness,label,source_file
0.21046665,0.13640724,0.20389153,-0.19830835,0.18358846,0,GSL_2013_07.tif
0.19947024,0.1182641,0.20151737,-0.26034343,0.1730839,0,GSL_2013_07.tif
0.15135989,0.08865275,0.07871529,0.059374575,0.106242634,0,GSL_2011_02.tif
0.14773493,0.084378004,0.075208776,0.057455704,0.10244057,0,GSL_2011_02.tif
0.14604329,0.081534624,0.07457797,0.04456147,0.100718625,0,GSL_2011_02.tif
0.13984632,0.07834307,0.070885934,0.049970765,0.09635844,0,GSL_2011_02.tif
0.13484043,0.075944565,0.06992117,0.0412938,0.09356872,0,GSL_2011_02.tif
0.14566353,0.081109084,0.077193946,0.02473177,0.10132218,0,GSL_2011_02.tif
0.14203857,0.08045143,0.07422546,0.04025117,0.098905146,0,GSL_2011_02.tif
0.1420731,0.07960035,0.07526443,0.027997905,0.098979294,0,GSL_2011_02.tif
0.1420731,0.081263825,0.07526443,0.03832762,0.09953379,0,GSL_2011_02.tif
0.1370672,0.0778595,0.07055198,0.04923792,0.09515956,0,GSL_2011_02.tif
0.13226844,0.0705286,0.06613637,0.03213843,0.08964447,0,GSL_2011_02.tif
0.13618685,0.07389424,0.07003249,0.026831158,0.09337119,0,GSL_2011_02.tif
0.13924217,0.07755002,0.071720816,0.039050907,0.096171,0,GSL_2011_02.tif
0.14096834,0.078826636,0.07537575,0.022378791,0.098390244,0,GSL_2011_02.tif
0.1440064,0.08234702,0.07574681,0.041748412,0.10070008,0,GSL_2011_02.tif
0.46141472,0.43513942,0.42940357,0.0066345315,0.44198588,0,GSL_2011_02.tif
0.44902083,0.41978127,0.41923657,0.00064920716,0.42934623,0,GSL_2011_02.tif
0.45033273,0.42036155,0.42064658,-0.00033891358,0.43044695,0,GSL_2011_02.tif
0.14060585,0.078110956,0.070774615,0.049274698,0.09649714,0,GSL_2011_02.tif
0.4183813,0.38428733,0.38747388,-0.004128932,0.39671418,0,GSL_2011_02.tif
0.11576624,0.05992877,0.06255565,-0.02144645,0.079416886,0,GSL_2011_02.tif
0.115887076,0.058478065,0.060106654,-0.013733432,0.07815727,0,GSL_2011_02.tif
0.123067945,0.06360389,0.06344619,0.0012412838,0.083372675,0,GSL_2011_02.tif
0.12002989,0.061940417,0.060384948,0.01271573,0.08078509,0,GSL_2011_02.tif
0.11971918,0.06878775,0.07001394,-0.008834027,0.086173624,0,GSL_2011_02.tif
0.042168267,0.0048747957,0.007112153,-0.18663387,0.018051738,0,GSL_1985_01.tif
0.046198435,0.010328983,0.009878037,0.022315219,0.022135152,0,GSL_1985_01.tif
0.06122987,0.024835605,0.018071314,0.15764669,0.034712262,0,GSL_1985_01.tif
